% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
5.43221	1	1	1	1.09717e-10	231305	0
5.43321	1	1	1	1.09729e-10	231328	0
5.43421	1	1	1	1.0974e-10	231352	0
5.43521	1	1	1	1.09751e-10	231376	0
5.43621	1	1	1	1.09762e-10	231399	0
5.43721	1	1	1	1.09774e-10	231423	0
5.43821	1	1	1	1.09785e-10	231447	0
5.43921	1	1	1	1.09796e-10	231470	0
5.44021	1	1	1	1.09807e-10	231494	0
5.44121	1	1	1	1.09818e-10	231518	0
5.44221	1	1	1	1.0983e-10	231541	0
5.44321	1	1	1	1.09841e-10	231565	0
5.44421	1	1	1	1.09852e-10	231589	0
5.44521	1	1	1	1.09863e-10	231612	0
5.44621	1	1	1	1.09875e-10	231636	0
5.44721	1	1	1	1.09886e-10	231660	0
5.44821	1	1	1	1.09897e-10	231683	0
5.44921	1	1	1	1.09908e-10	231707	0
5.45021	1	1	1	1.0992e-10	231731	0
5.45121	1	1	1	1.09931e-10	231755	0
5.45221	1	1	1	1.09942e-10	231778	0
5.45321	1	1	1	1.09953e-10	231802	0
5.45421	1	1	1	1.09965e-10	231826	0
5.45521	1	1	1	1.09976e-10	231849	0
5.45621	1	1	1	1.09987e-10	231873	0
5.45721	1	1	1	1.09998e-10	231897	0
5.45821	1	1	1	1.1001e-10	231921	0
5.45921	1	1	1	1.10021e-10	231944	0
5.46021	1	1	1	1.10032e-10	231968	0
5.46121	1	1	1	1.10043e-10	231992	0
5.46221	1	1	1	1.10055e-10	232016	0
5.46321	1	1	1	1.10066e-10	232039	0
5.46421	1	1	1	1.10077e-10	232063	0
5.46521	1	1	1	1.10088e-10	232087	0
5.46621	1	1	1	1.101e-10	232111	0
5.46721	1	1	1	1.10111e-10	232134	0
5.46821	1	1	1	1.10122e-10	232158	0
5.46921	1	1	1	1.10134e-10	232182	0
5.47021	1	1	1	1.10145e-10	232206	0
5.47121	1	1	1	1.10156e-10	232230	0
5.47221	1	1	1	1.10167e-10	232253	0
5.47321	1	1	1	1.10179e-10	232277	0
5.47421	1	1	1	1.1019e-10	232301	0
5.47521	1	1	1	1.10201e-10	232325	0
5.47621	1	1	1	1.10213e-10	232348	0
5.47721	1	1	1	1.10224e-10	232372	0
5.47821	1	1	1	1.10235e-10	232396	0
5.47921	1	1	1	1.10246e-10	232420	0
5.48021	1	1	1	1.10258e-10	232444	0
5.48121	1	1	1	1.10269e-10	232468	0
5.48221	1	1	1	1.1028e-10	232491	0
5.48321	1	1	1	1.10292e-10	232515	0
5.48421	1	1	1	1.10303e-10	232539	0
5.48521	1	1	1	1.10314e-10	232563	0
5.48621	1	1	1	1.10326e-10	232587	0
5.48721	1	1	1	1.10337e-10	232611	0
5.48821	1	1	1	1.10348e-10	232634	0
5.48921	1	1	1	1.10359e-10	232658	0
5.49021	1	1	1	1.10371e-10	232682	0
5.49121	1	1	1	1.10382e-10	232706	0
5.49221	1	1	1	1.10393e-10	232730	0
5.49321	1	1	1	1.10405e-10	232754	0
5.49421	1	1	1	1.10416e-10	232778	0
5.49521	1	1	1	1.10427e-10	232801	0
5.49621	1	1	1	1.10439e-10	232825	0
