% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
6.521	1	1	1	3939.8	0
6.561	1	1	1	3956.91	0
6.601	1	1	1	3974.14	0
6.641	1	1	1	3991.47	0
6.681	1	1	1	4008.92	0
6.721	1	1	1	4026.49	0
6.761	1	1	1	4044.17	0
6.801	1	1	1	4061.96	0
6.841	1	1	1	4079.88	0
6.881	1	1	1	4097.91	0
6.921	1	1	1	4116.07	0
6.961	1	1	1	4134.34	0
7.001	1	1	1	4152.74	0
7.041	1	1	1	4171.26	0
7.081	1	1	1	4189.9	0
7.121	1	1	1	4208.67	0
7.161	1	1	1	4227.56	0
7.201	1	1	1	4246.59	0
7.241	1	1	1	4265.74	0
7.281	1	1	1	4285.02	0
7.321	1	1	1	4304.43	0
7.361	1	1	1	4323.97	0
7.401	1	1	1	4343.65	0
7.441	1	1	1	4363.46	0
7.481	1	1	1	4383.41	0
7.521	1	1	1	4403.5	0
7.561	1	1	1	4423.72	0
7.601	1	1	1	4444.09	0
7.641	1	1	1	4464.59	0
7.681	1	1	1	4485.24	0
7.721	1	1	1	4506.03	0
7.761	1	1	1	4526.96	0
7.801	1	1	1	4548.04	0
7.841	1	1	1	4569.27	0
7.881	1	1	1	4590.65	0
7.921	1	1	1	4612.18	0
7.961	1	1	1	4633.86	0
8.001	1	1	1	4655.69	0
8.041	1	1	1	4677.68	0
8.081	1	1	1	4699.82	0
8.121	1	1	1	4722.12	0
8.161	1	1	1	4744.59	0
8.201	1	1	1	4767.21	0
8.241	1	1	1	4789.99	0
8.281	1	1	1	4812.94	0
8.321	1	1	1	4836.05	0
8.361	1	1	1	4859.33	0
8.401	1	1	1	4882.78	0
8.441	1	1	1	4906.4	0
8.481	1	1	1	4930.19	0
8.521	1	1	1	4954.15	0
8.561	1	1	1	4978.29	0
8.601	1	1	1	5002.6	0
8.641	1	1	1	5027.1	0
8.681	1	1	1	5051.77	0
8.721	1	1	1	5076.63	0
8.761	1	1	1	5101.67	0
8.801	1	1	1	5126.89	0
8.841	1	1	1	5152.31	0
8.881	1	1	1	5177.91	0
8.921	1	1	1	5203.7	0
8.961	1	1	1	5229.69	0
9.001	1	1	1	5255.87	0
9.041	1	1	1	5282.25	0
9.081	1	1	1	5308.83	0
9.121	1	1	1	5325.86	0
9.161	1	1	1	5325.87	0
9.201	1	1	1	5325.87	0
9.241	1	1	1	5325.87	0
9.281	1	1	1	5325.88	0
9.321	1	1	1	5325.88	0
9.361	1	1	1	5325.88	0
9.401	1	1	1	5325.89	0
9.441	1	1	1	5325.89	0
9.481	1	1	1	5325.89	0
9.521	1	1	1	5325.9	0
9.561	1	1	1	5325.9	0
9.601	1	1	1	5325.9	0
9.641	1	1	1	5325.91	0
9.681	1	1	1	5325.91	0
9.721	1	1	1	5325.91	0
9.761	1	1	1	5325.92	0
9.801	1	1	1	5325.92	0
9.841	1	1	1	5325.93	0
9.881	1	1	1	5325.93	0
9.921	1	1	1	5325.93	0
9.961	1	1	1	5325.94	0
10.001	1	1	1	5325.94	0
10.041	1	1	1	5325.94	0
10.081	1	1	1	5325.95	0
10.121	1	1	1	5325.95	0
10.161	1	1	1	5325.95	0
10.201	1	1	1	5325.96	0
10.241	1	1	1	5325.96	0
10.281	1	1	1	5325.97	0
10.321	1	1	1	5325.97	0
10.361	1	1	1	5325.97	0
10.401	1	1	1	5325.98	0
10.441	1	1	1	5325.98	0
10.481	1	1	1	5325.99	0
10.521	1	1	1	5325.99	0
10.561	1	1	1	5325.99	0
10.601	1	1	1	5326	0
10.641	1	1	1	5326	0
10.681	1	1	1	5326.01	0
10.721	1	1	1	5326.01	0
10.761	1	1	1	5326.01	0
10.801	1	1	1	5326.02	0
10.841	1	1	1	5326.02	0
10.881	1	1	1	5326.03	0
10.921	1	1	1	5326.03	0
10.961	1	1	1	5326.03	0
11.001	1	1	1	5326.04	0
11.041	1	1	1	5326.04	0
11.081	1	1	1	5326.05	0
11.121	1	1	1	5326.05	0
11.161	1	1	1	5326.05	0
11.201	1	1	1	5326.06	0
11.241	1	1	1	5326.06	0
11.281	1	1	1	5326.07	0
11.321	1	1	1	5326.07	0
11.361	1	1	1	5326.08	0
11.401	1	1	1	5326.08	0
11.441	1	1	1	5326.09	0
11.481	1	1	1	5326.09	0
11.521	1	1	1	5326.09	0
11.561	1	1	1	5326.1	0
11.601	1	1	1	5326.1	0
11.641	1	1	1	5326.11	0
11.681	1	1	1	5326.11	0
11.721	1	1	1	5326.12	0
11.761	1	1	1	5326.12	0
11.801	1	1	1	5326.13	0
11.841	1	1	1	5326.13	0
11.881	1	1	1	5326.14	0
11.921	1	1	1	5326.14	0
11.961	1	1	1	5326.15	0
12.001	1	1	1	5326.15	0
12.041	1	1	1	5326.16	0
12.081	1	1	1	5326.16	0
12.121	1	1	1	5326.17	0
12.161	1	1	1	5326.17	0
12.201	1	1	1	5326.18	0
12.241	1	1	1	5326.18	0
12.281	1	1	1	5326.19	0
12.321	1	1	1	5326.19	0
12.361	1	1	1	5326.2	0
12.401	1	1	1	5326.2	0
12.441	1	1	1	5326.21	0
12.481	1	1	1	5326.21	0
12.521	1	1	1	5326.22	0
12.561	1	1	1	5326.22	0
12.601	1	1	1	5326.23	0
12.641	1	1	1	5326.23	0
12.681	1	1	1	5326.24	0
12.721	1	1	1	5326.24	0
12.761	1	1	1	5326.25	0
12.801	1	1	1	5326.25	0
12.841	1	1	1	5326.26	0
12.881	1	1	1	5326.27	0
12.921	1	1	1	5326.27	0
12.961	1	1	1	5326.28	0
13.001	1	1	1	5326.28	0
13.041	1	1	1	5326.29	0
13.081	1	1	1	5326.29	0
13.121	1	1	1	5326.3	0
13.161	1	1	1	5326.31	0
13.201	1	1	1	5326.31	0
13.241	1	1	1	5326.32	0
13.281	1	1	1	5326.32	0
13.321	1	1	1	5326.33	0
13.361	1	1	1	5326.34	0
13.401	1	1	1	5326.34	0
13.441	1	1	1	5326.35	0
13.481	1	1	1	5326.35	0
13.521	1	1	1	5326.36	0
13.561	1	1	1	5326.37	0
13.601	1	1	1	5326.37	0
13.641	1	1	1	5326.38	0
13.681	1	1	1	5326.39	0
13.721	1	1	1	5326.39	0
13.761	1	1	1	5326.4	0
13.801	1	1	1	5326.4	0
13.841	1	1	1	5326.41	0
13.881	1	1	1	5326.42	0
13.921	1	1	1	5326.42	0
13.961	1	1	1	5326.43	0
14.001	1	1	1	5326.44	0
14.041	1	1	1	5326.44	0
14.081	1	1	1	5326.45	0
14.121	1	1	1	5326.46	0
14.161	1	1	1	5326.47	0
14.201	1	1	1	5326.47	0
14.241	1	1	1	5326.48	0
14.281	1	1	1	5326.49	0
14.321	1	1	1	5326.49	0
14.361	1	1	1	5326.5	0
14.401	1	1	1	5326.51	0
14.441	1	1	1	5326.52	0
14.481	1	1	1	5326.52	0
14.521	1	1	1	5326.53	0
14.561	1	1	1	5326.54	0
14.601	1	1	1	5326.55	0
14.641	1	1	1	5326.55	0
14.681	1	1	1	5326.56	0
14.721	1	1	1	5326.57	0
14.761	1	1	1	5326.58	0
14.801	1	1	1	5326.58	0
14.841	1	1	1	5326.59	0
14.881	1	1	1	5326.6	0
14.921	1	1	1	5326.61	0
14.961	1	1	1	5326.62	0
15.001	1	1	1	5326.62	0
15.041	1	1	1	5326.63	0
15.081	1	1	1	5326.64	0
15.121	1	1	1	5326.65	0
15.161	1	1	1	5326.66	0
15.201	1	1	1	5326.67	0
15.241	1	1	1	5326.68	0
15.281	1	1	1	5326.68	0
15.321	1	1	1	5326.69	0
15.361	1	1	1	5326.7	0
15.401	1	1	1	5326.71	0
15.441	1	1	1	5326.72	0
15.481	1	1	1	5326.73	0
15.521	1	1	1	5326.74	0
15.561	1	1	1	5326.75	0
15.601	1	1	1	5326.76	0
15.641	1	1	1	5326.77	0
15.681	1	1	1	5326.77	0
15.721	1	1	1	5326.78	0
15.761	1	1	1	5326.79	0
15.801	1	1	1	5326.8	0
15.841	1	1	1	5326.81	0
15.881	1	1	1	5326.82	0
15.921	1	1	1	5326.83	0
15.961	1	1	1	5326.84	0
16.001	1	1	1	5326.85	0
16.041	1	1	1	5326.86	0
16.081	1	1	1	5326.87	0
16.121	1	1	1	5326.88	0
16.161	1	1	1	5326.89	0
16.201	1	1	1	5326.9	0
16.241	1	1	1	5326.92	0
16.281	1	1	1	5326.93	0
16.321	1	1	1	5326.94	0
16.361	1	1	1	5326.95	0
16.401	1	1	1	5326.96	0
16.441	1	1	1	5326.97	0
16.481	1	1	1	5326.98	0
16.521	1	1	1	5326.99	0
16.561	1	1	1	5327	0
16.601	1	1	1	5327.02	0
16.641	1	1	1	5327.03	0
16.681	1	1	1	5327.04	0
16.721	1	1	1	5327.05	0
16.761	1	1	1	5327.06	0
16.801	1	1	1	5327.08	0
16.841	1	1	1	5327.09	0
16.881	1	1	1	5327.1	0
16.921	1	1	1	5327.11	0
16.961	1	1	1	5327.13	0
17.001	1	1	1	5327.14	0
17.041	1	1	1	5327.15	0
17.081	1	1	1	5327.16	0
17.121	1	1	1	5327.18	0
17.161	1	1	1	5327.19	0
17.201	1	1	1	5327.2	0
17.241	1	1	1	5327.22	0
17.281	1	1	1	5327.23	0
17.321	1	1	1	5327.25	0
17.361	1	1	1	5327.26	0
17.401	1	1	1	5327.27	0
17.441	1	1	1	5327.29	0
17.481	1	1	1	5327.3	0
17.521	1	1	1	5327.32	0
17.561	1	1	1	5327.33	0
17.601	1	1	1	5327.35	0
17.641	1	1	1	5327.36	0
17.681	1	1	1	5327.38	0
17.721	1	1	1	5327.39	0
17.761	1	1	1	5327.41	0
17.801	1	1	1	5327.42	0
17.841	1	1	1	5327.44	0
17.881	1	1	1	5327.46	0
17.921	1	1	1	5327.47	0
17.961	1	1	1	5327.49	0
18.001	1	1	1	5327.51	0
18.041	1	1	1	5327.52	0
18.081	1	1	1	5327.54	0
18.121	1	1	1	5327.56	0
18.161	1	1	1	5327.57	0
18.201	1	1	1	5327.59	0
18.241	1	1	1	5327.61	0
18.281	1	1	1	5327.63	0
18.321	1	1	1	5327.65	0
18.361	1	1	1	5327.66	0
18.401	1	1	1	5327.68	0
18.441	1	1	1	5327.7	0
18.481	1	1	1	5327.72	0
18.521	1	1	1	5327.74	0
18.561	1	1	1	5327.76	0
18.601	1	1	1	5327.78	0
18.641	1	1	1	5327.8	0
18.681	1	1	1	5327.82	0
18.721	1	1	1	5327.84	0
18.761	1	1	1	5327.86	0
18.801	1	1	1	5327.88	0
18.841	1	1	1	5327.91	0
18.881	1	1	1	5327.93	0
18.921	1	1	1	5327.95	0
18.961	1	1	1	5327.97	0
19.001	1	1	1	5327.99	0
19.041	1	1	1	5328.02	0
19.081	1	1	1	5328.04	0
19.121	1	1	1	5328.06	0
19.161	1	1	1	5328.09	0
19.201	1	1	1	5328.11	0
19.241	1	1	1	5328.14	0
19.281	1	1	1	5328.16	0
19.321	1	1	1	5328.19	0
19.361	1	1	1	5328.21	0
19.401	1	1	1	5328.24	0
19.441	1	1	1	5328.27	0
19.481	1	1	1	5328.29	0
19.521	1	1	1	5328.32	0
19.561	1	1	1	5328.35	0
19.601	1	1	1	5328.37	0
19.641	1	1	1	5328.4	0
19.681	1	1	1	5328.43	0
19.721	1	1	1	5328.46	0
19.761	1	1	1	5328.49	0
19.801	1	1	1	5328.52	0
19.841	1	1	1	5328.55	0
19.881	1	1	1	5328.58	0
19.921	1	1	1	5328.61	0
19.961	1	1	1	5328.65	0
20.001	1	1	1	5328.68	0
20.041	1	1	1	5328.71	0
20.081	1	1	1	5328.75	0
20.121	1	1	1	5328.78	0
20.161	1	1	1	5328.82	0
20.201	1	1	1	5328.85	0
20.241	1	1	1	5328.89	0
20.281	1	1	1	5328.92	0
20.321	1	1	1	5328.96	0
20.361	1	1	1	5329	0
20.401	1	1	1	5329.04	0
20.441	1	1	1	5329.08	0
20.481	1	1	1	5329.12	0
20.521	1	1	1	5329.16	0
20.561	1	1	1	5329.2	0
20.601	1	1	1	5329.24	0
20.641	1	1	1	5329.28	0
20.681	1	1	1	5329.33	0
20.721	1	1	1	5329.37	0
20.761	1	1	1	5329.42	0
20.801	1	1	1	5329.46	0
20.841	1	1	1	5329.51	0
20.881	1	1	1	5329.56	0
20.921	1	1	1	5329.61	0
20.961	1	1	1	5329.66	0
21.001	1	1	1	5329.71	0
21.041	1	1	1	5329.76	0
21.081	1	1	1	5329.81	0
21.121	1	1	1	5329.87	0
21.161	1	1	1	5329.92	0
21.201	1	1	1	5329.98	0
21.241	1	1	1	5330.03	0
21.281	1	1	1	5330.09	0
21.321	1	1	1	5330.15	0
21.361	1	1	1	5330.22	0
21.401	1	1	1	5330.28	0
21.441	1	1	1	5330.34	0
21.481	1	1	1	5330.41	0
21.521	1	1	1	5330.47	0
21.561	1	1	1	5330.54	0
21.601	1	1	1	5330.61	0
21.641	1	1	1	5330.69	0
21.681	1	1	1	5330.76	0
21.721	1	1	1	5330.83	0
21.761	1	1	1	5330.91	0
21.801	1	1	1	5330.99	0
21.841	1	1	1	5331.07	0
21.881	1	1	1	5331.16	0
21.921	1	1	1	5331.24	0
21.961	1	1	1	5331.33	0
22.001	1	1	1	5331.42	0
22.041	1	1	1	5331.51	0
22.081	1	1	1	5331.61	0
22.121	1	1	1	5331.71	0
22.161	1	1	1	5331.81	0
22.201	1	1	1	5331.91	0
22.241	1	1	1	5332.02	0
22.281	1	1	1	5332.13	0
22.321	1	1	1	5332.24	0
22.361	1	1	1	5332.35	0
22.401	1	1	1	5332.47	0
22.441	1	1	1	5332.6	0
22.481	1	1	1	5332.73	0
22.521	1	1	1	5332.86	0
22.561	1	1	1	5332.99	0
22.601	1	1	1	5333.13	0
22.641	1	1	1	5333.28	0
22.681	1	1	1	5333.43	0
22.721	1	1	1	5333.58	0
22.761	1	1	1	5333.74	0
22.801	1	1	1	5333.91	0
22.841	1	1	1	5334.08	0
22.881	1	1	1	5334.26	0
22.921	1	1	1	5334.45	0
22.961	1	1	1	5334.64	0
23.001	1	1	1	5334.85	0
23.041	1	1	1	5335.06	0
23.081	1	1	1	5335.28	0
23.121	1	1	1	5335.5	0
23.161	1	1	1	5335.74	0
23.201	1	1	1	5335.99	0
23.241	1	1	1	5336.25	0
23.281	1	1	1	5336.52	0
23.321	1	1	1	5336.81	0
23.361	1	1	1	5337.1	0
23.401	1	1	1	5337.42	0
23.441	1	1	1	5337.75	0
23.481	1	1	1	5338.09	0
23.521	1	1	1	5338.46	0
23.561	1	1	1	5338.85	0
23.601	1	1	1	5339.25	0
23.641	1	1	1	5339.69	0
23.681	1	1	1	5340.15	0
23.721	1	1	1	5340.63	0
23.761	1	1	1	5341.15	0
23.801	1	1	1	5341.71	0
23.841	1	1	1	5342.3	0
23.881	1	1	1	5342.93	0
23.921	1	1	1	5343.61	0
23.961	1	1	1	5344.34	0
24.001	1	1	1	5345.14	0
24.041	1	1	1	5345.99	0
24.081	1	1	1	5346.93	0
24.121	1	1	1	5347.95	0
24.161	1	1	1	5349.06	0
24.201	1	1	1	5350.29	0
24.241	1	1	1	5351.64	0
24.281	1	1	1	5353.15	0
24.321	1	1	1	5354.83	0
24.361	1	1	1	5356.73	0
24.401	1	1	1	5358.88	0
24.441	1	1	1	5361.34	0
24.481	1	1	1	5364.17	0
24.521	1	1	1	5367.48	0
24.561	1	1	1	5371.39	0
24.601	1	1	1	5376.09	0
24.641	1	1	1	5381.84	0
24.681	1	1	1	5389.03	0
24.721	1	1	1	5398.28	0
24.761	1	1	1	5410.64	0
24.801	1	1	1	5427.97	0
24.841	1	1	1	5454.05	0
24.881	1	1	1	5497.71	0
24.921	1	1	1	5585.81	0
24.961	1	1	1	5856.52	0
25.001	1	1	1	781996	0
25.041	1	1	1	4827.88	0
25.081	1	1	1	5072.15	0
25.121	1	1	1	5155.35	0
25.161	1	1	1	5197.3	0
25.201	1	1	1	5222.58	0
25.241	1	1	1	5239.48	0
25.281	1	1	1	5251.58	0
25.321	1	1	1	5260.66	0
25.361	1	1	1	5267.74	0
25.401	1	1	1	5273.4	0
25.441	1	1	1	5278.04	0
25.481	1	1	1	5281.91	0
25.521	1	1	1	5285.18	0
25.561	1	1	1	5287.99	0
25.601	1	1	1	5290.42	0
25.641	1	1	1	5292.55	0
25.681	1	1	1	5294.43	0
25.721	1	1	1	5296.1	0
25.761	1	1	1	5297.6	0
25.801	1	1	1	5298.94	0
25.841	1	1	1	5300.16	0
25.881	1	1	1	5301.27	0
25.921	1	1	1	5302.28	0
25.961	1	1	1	5303.21	0
26.001	1	1	1	5304.06	0
26.041	1	1	1	5304.85	0
26.081	1	1	1	5305.58	0
26.121	1	1	1	5306.26	0
26.161	1	1	1	5306.89	0
26.201	1	1	1	5307.48	0
26.241	1	1	1	5308.03	0
26.281	1	1	1	5308.54	0
26.321	1	1	1	5309.03	0
26.361	1	1	1	5309.48	0
